IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-964.84375,145.99609,91.30859,-0.1572128013014168,-0.0017320647496791,-0.1634746935917221,6.15,24.15,36.75,-93.75,-110.35156,1000.97656,0.1184425808963904,-0.0205175670876697,0.0447657754514773,71.4,1.5,86.85,-824.70703,92.77344,594.23828,-0.1016554805519333,-0.0259800985805615,0.0478300500192038,57.6,24.3,22.05
-962.40234,112.30469,93.26172,-0.1039203943222463,-0.0041301471419193,-0.0759418937481512,6.3,24.3,35.85,-82.51953,-104.00391,1020.99609,0.1513507639427435,-0.0166539317225298,0.0358392889921523,70.65,1.5,87.15,-832.03125,85.44922,606.44531,-0.1141790905996186,-0.0881991665519822,0.0434333911005048,58.2,24.6,22.05
-991.69922,115.23438,84.96094,-0.0971256530113072,0.0038636353651398,-0.0367718184114929,5.7,23.85,36.45,-82.03125,-105.46875,1029.29688,0.0732771250462063,-0.0066615726890119,0.0683476171068735,70.65,1.5,87.9,-827.14844,81.54297,576.66016,-0.0856677410048896,-0.0253139064050753,-0.0458314734927451,58.2,24.6,22.65
-1009.76562,95.70313,84.96094,-0.1421577657066389,0.0198513749121835,-0.027312482931534,5.7,23.85,36.45,-77.14844,-100.09766,1030.76172,0.0353062654385932,0.0175864611418704,0.0983246942074273,70.2,0.9,87.75,-830.56641,93.75,593.26172,-0.077007591789419,-0.1305666850782942,0.0443659205198454,58.2,24.6,22.65
-1005.85937,107.42188,86.91406,-0.0198513749121835,0.0042633157638465,0.0039969785199922,4.95,24.75,35.85,-67.87109,-107.42188,1010.74219,-0.0013323843509724,0.0238483534321757,0.0590214502488418,69.75,0.45,87.75,-822.75391,83.00781,576.66016,-0.0767412545455646,-0.0620857248165682,0.0138559943986577,57.9,24.15,23.7
-1025.39063,117.1875,93.26172,-0.0262466103573411,-0.0570230482553083,-0.0218499514386422,5.55,22.5,35.25,-59.57031,-116.21094,1020.01953,0.0114579120064175,0.0133231453780239,0.0590214502488418,69.75,0.45,87.75,-807.61719,90.33203,581.54297,-0.0981913510525749,-0.0981913510525749,0.0063950609122324,57.45,24.6,23.25
-1025.87891,145.50781,101.07422,-0.0908637607210019,-0.0114579120064175,-0.0716784034513795,5.1,25.65,35.7,-45.89844,-115.23438,1005.85937,0.0796723604913639,0.0066615726890119,0.1005896079777403,70.2,1.65,86.7,-799.80469,83.00781,579.58984,-0.1616094602201157,-0.0535589187559499,0.0023980823922402,58.05,24.0,23.55
-1024.90234,148.4375,100.09766,-0.0539585991546566,-0.0750091897958855,0.0455651362488907,5.7,23.1,36.75,-55.17578,-134.76562,1014.16016,0.077007591789419,0.0161209081689708,0.0860674214035963,69.0,1.65,86.7,-797.36328,93.26172,560.54687,-0.1600107386252889,-0.0213169278850831,0.0198513749121835,56.4,25.65,22.2
-1031.73828,156.25,100.58594,-0.059687642424328,-0.1148452827751048,0.0385038831611721,5.7,23.1,36.75,-58.59375,-115.72266,1011.71875,0.0893982077481023,0.041834669505678,0.0807380585326316,71.7,1.5,87.15,-792.96875,88.86719,555.66406,-0.1337641282679478,-0.0498284520127373,-0.0043966589186989,56.4,25.65,22.2
-1030.27344,148.92578,95.21484,-0.1135130729570576,-0.0860674214035963,-0.0043966589186989,5.55,22.95,34.8,-64.94141,-92.77344,980.95703,0.0961929490590414,0.0679479367081668,0.0255804181818548,71.7,1.5,87.15,-810.05859,99.60938,568.35937,-0.1283017713079811,-0.0275788201753884,-0.0118575924051242,55.8,24.3,22.5
-1031.25,179.19922,111.32813,-0.0504946441882235,-0.0927289940926083,0.0325085026476463,5.4,24.15,35.4,-68.84766,-107.91016,996.09375,0.094860564708069,0.03064326927604,0.0587549384720623,71.7,1.5,87.15,-813.96484,99.12109,576.66016,-0.167871352510421,-0.0129234649793172,-0.0213169278850831,55.8,24.3,22.5
-1011.23047,150.39062,97.65625,-0.0969923098564548,-0.1301670046795875,0.0358392889921523,5.4,24.15,36.75,-73.73047,-102.05078,982.91016,0.1163108357480045,0.0767412545455646,0.1080505414641657,72.45,1.5,87.15,-812.5,88.86719,569.82422,-0.1713353074768541,-0.0538254305327295,0.0631515973907612,58.05,23.25,24.15
-991.21094,142.57812,104.49219,-0.1404257009569597,-0.0704793622552594,-0.0071944217096458,5.25,23.7,36.9,-84.47266,-122.07031,975.58594,0.1811944978884449,0.05475795995207,0.0790061683158777,69.9,0.75,86.55,-833.49609,86.91406,584.96094,-0.1736002212471671,-0.0394364125805126,0.0622190679714206,57.0,24.0,23.1
-981.44531,163.57422,124.51172,-0.0887320155726161,-0.0658161915597809,-0.0487625794385443,5.25,23.7,36.9,-62.01172,-113.28125,993.16406,0.1394931715376192,0.1092495826602858,0.0917962901403425,69.9,0.75,86.55,-836.42578,76.66016,573.24219,-0.1838590920574646,-0.0319754790940873,0.0157212277702641,58.35,23.25,22.5
-970.70312,146.48437,117.1875,-0.0949939078629213,-0.0908637607210019,-0.0594211306475485,6.0,24.75,36.6,-69.82422,-94.23828,994.62891,0.1425574461053456,0.077007591789419,0.0519601971611231,70.5,1.2,87.0,-833.98437,70.3125,605.46875,-0.2387503951643871,0.0247810573844414,0.0151883787496302,58.2,24.9,22.2
-986.32812,142.08984,121.09375,-0.0943277156874351,-0.0131899767560967,-0.0654165111610742,6.9,24.6,37.5,-67.87109,-95.21484,1007.32422,0.1704027780575135,0.1071178375118999,0.1057856276938527,71.7,1.5,87.6,-832.03125,67.38281,609.86328,-0.2280918439553829,0.0295773967018471,0.0194516945134768,56.7,23.4,22.95
-986.32812,150.39062,118.65234,-0.0564900247017492,0.0023980823922402,-0.0891316959713228,7.05,24.75,37.35,-83.00781,-88.37891,1013.18359,0.0615528757959344,0.0755420388165193,0.125503833984109,70.65,1.8,87.9,-846.19141,56.15234,593.75,-0.2141026809347979,-0.0218499514386422,0.0233155044115418,57.9,24.6,25.35
-984.86328,154.78516,121.58203,-0.0936615235119489,0.0495619402359577,-0.0566231933236764,7.05,24.75,37.35,-88.86719,-89.35547,1041.50391,0.0390367321818059,0.0881991665519822,0.1374945950111605,70.65,1.8,87.9,-837.40234,61.03516,630.37109,-0.1981147668548291,-0.0678147680862396,0.0447657754514773,57.9,24.6,25.35
-994.62891,141.11328,100.58594,-0.1324319184499005,0.1003230962009608,-0.1157779867273706,5.7,23.4,36.75,-100.58594,-83.49609,1027.83203,0.0758085505932989,0.0027979373238721,0.1032542021467601,71.1,1.8,87.9,-844.23828,51.75781,599.12109,-0.1927855785167896,-0.0913966097416358,0.0562235129249697,57.45,23.4,24.75
-1015.625,144.53125,99.12109,-0.0828698036810175,0.050228132411444,-0.0398360929792193,7.05,24.3,36.3,-86.91406,-116.69922,1024.90234,0.0089264864593249,0.0305099261211876,0.1068515002680456,71.25,2.4,86.7,-828.125,38.57422,589.35547,-0.1473537854227512,-0.0763415741468579,0.0590214502488418,57.45,23.4,24.75
-1004.88281,149.41406,104.98047,-0.0872664625997164,0.0198513749121835,-0.0442327518979182,6.0,24.3,37.35,-69.33594,-143.55469,1017.57812,0.0253139064050753,0.0598208110462552,0.1430902951259795,72.0,1.95,86.7,-823.24219,60.05859,604.49219,-0.2263599537386289,-0.050761155965003,0.0830031468358699,57.6,23.7,23.1
-1012.69531,130.85937,102.53906,-0.1055191159170731,0.0554241521275563,-0.1071178375118999,6.9,24.15,37.05,-63.96484,-173.33984,1022.46094,0.0343737360192527,0.082603291904238,0.098724374606134,71.7,2.55,86.85,-821.77734,46.38672,607.91016,-0.2083736376651266,-0.0391699008037331,0.0410353087082646,58.2,23.85,23.7
-1028.32031,128.41797,99.12109,-0.1075176924435318,0.0692803210591393,-0.1497518678149914,6.9,24.15,37.05,-49.80469,-161.62109,1024.90234,0.0158545709251164,0.0971256530113072,0.0957932686603347,71.55,1.2,88.05,-795.41016,45.89844,613.76953,-0.2246278889889497,-0.0259800985805615,0.059687642424328,56.55,23.7,22.8
-1015.625,119.62891,107.91016,-0.0281118437289474,0.0101255276554451,-0.1268362183350815,5.7,24.15,36.45,-54.6875,-129.88281,1020.01953,0.0823369546603836,0.0688804661275074,0.0783399761403914,69.9,1.05,86.85,-827.14844,32.22656,602.05078,-0.2210305908676643,-0.018385996472209,0.0138559943986577,57.3,24.75,23.1
-1030.27344,142.08984,96.19141,-0.0929953313364626,0.0139893375535101,-0.1444226794769519,6.3,25.05,35.55,-49.31641,-103.02734,1010.25391,0.1156446435725182,0.0522267089379027,0.0787396565390981,69.9,1.05,86.85,-795.89844,52.24609,599.12109,-0.1570796326794896,-0.087532974376496,0.0520933657830503,58.2,23.85,23.7
-1017.08984,143.55469,98.14453,-0.0843353566539172,0.0115910806283447,-0.1314992144976347,5.55,22.95,35.85,-60.54688,-77.14844,1013.18359,0.145621720673072,0.1011224569983742,0.1016554805519333,70.35,1.8,87.15,-797.85156,38.08594,638.67187,-0.1923858981180829,-0.0349065850398865,0.049162259837251,58.05,24.3,23.85
-1026.85547,138.67187,116.69922,-0.0065284040670847,-0.0551578148837019,-0.0883323351739094,5.1,24.6,35.4,-64.45313,-65.91797,1023.92578,0.123238920213796,0.0632847660126884,0.1000565844241813,71.1,2.55,87.6,-803.71094,26.85547,594.72656,-0.1283017713079811,-0.0138559943986577,0.0651499993842947,58.05,24.3,23.85
-1000.48828,138.18359,129.39453,-0.0722112524720134,-0.0600873228230347,-0.0472970264656447,5.1,24.6,35.4,-47.36328,-70.3125,1018.55469,0.0262466103573411,0.078606487917171,0.110981647409965,70.8,1.65,87.45,-794.43359,50.29297,609.375,-0.1534823345582041,-0.004529827540626,0.0229158240128351,58.05,24.3,23.85
-1004.88281,141.60156,135.25391,-0.0492956029921034,-0.0233155044115418,-0.1169770279234907,5.1,24.6,35.4,-33.20313,-100.58594,1004.39453,-0.0025314255470925,0.0539585991546566,0.1161776671260773,71.4,3.0,87.15,-786.62109,40.52734,640.13672,-0.1870567097800435,0.0718115720733066,0.0225161436141284,56.25,24.75,24.15
-995.11719,149.41406,128.90625,-0.0520933657830503,-0.0726111074036452,-0.080871401687484,6.3,25.5,35.55,-52.24609,-140.625,991.69922,-0.0410353087082646,0.1137794102009119,0.1256370026060362,72.15,3.75,87.6,-785.64453,30.76172,591.79687,-0.1454885520511449,0.0317089673173077,-0.0098591904115907,57.0,24.75,23.55
-999.51172,155.76172,128.41797,-0.0748760211739583,-0.0511608363637097,-0.1107151356331855,5.1,23.85,36.75,-31.73828,-153.80859,993.65234,0.034640073263107,0.0642174699649541,0.0763415741468579,71.7,3.75,86.85,-790.52734,26.36719,631.83594,-0.1626753327943086,0.0504946441882235,0.0347734164179594,57.45,24.15,23.25
-971.19141,155.76172,132.32422,-0.1121806886060851,-0.0334410320669869,-0.1638743739904287,6.3,24.0,37.65,-70.3125,-125.97656,1004.39453,0.0527595579585365,0.0519601971611231,0.0319754790940873,71.7,3.75,86.85,-817.87109,21.97266,619.62891,-0.0977916706538682,0.0483628990398376,-0.0262466103573411,57.45,24.9,23.25
-969.23828,166.99219,121.58203,-0.1080505414641657,-0.0530260697353161,-0.0562235129249697,5.4,24.6,37.05,-82.51953,-119.14063,992.67578,0.0378376909856858,0.0787396565390981,0.0406354537766327,71.7,3.75,88.35,-811.03516,14.64844,611.32812,-0.0616860444178615,0.0185191650941362,0.0467641774450108,57.45,24.6,24.0
-954.58984,182.61719,136.71875,-0.1502848913685505,0.0447657754514773,-0.1300336615247351,5.4,24.6,37.05,-69.82422,-105.46875,998.04687,0.0604870032217414,0.0417013263508257,0.0604870032217414,71.55,3.45,86.7,-808.59375,44.92188,646.97266,-0.0385038831611721,0.0218499514386422,-0.0166539317225298,57.9,24.15,22.95
-958.00781,175.78125,125.0,-0.1901209843477699,0.0552909835056291,-0.1923858981180829,5.55,23.25,36.9,-69.82422,-116.21094,1013.67187,0.073676805444913,0.0635512777894679,-0.0158545709251164,71.4,3.0,88.35,-822.75391,27.34375,617.1875,-0.0043966589186989,0.0496952833908101,0.0387702204050264,57.9,24.15,22.95
-940.42969,179.6875,124.51172,-0.1512174207878911,0.0436999028772844,-0.1538820149569108,5.7,25.35,36.75,-79.58984,-96.19141,1014.64844,0.071944915228159,0.034640073263107,0.0115910806283447,71.4,3.0,88.35,-813.47656,57.61719,625.48828,-0.0094593354799588,0.057422728654015,0.0386370517830992,55.5,24.0,22.8
-949.70703,185.05859,105.95703,-0.245411967853399,0.1032542021467601,-0.162275652395602,7.35,24.0,36.3,-63.96484,-83.49609,1018.06641,0.0778071271197576,0.0195850376683291,0.0230489926347623,71.4,3.75,85.8,-794.92187,67.38281,642.57812,-0.0193185258915496,0.0856677410048896,0.0222496318373489,55.5,24.0,22.8
-959.47266,187.5,117.67578,-0.2162342515502586,0.0877993116203503,-0.1488193383956508,4.05,23.4,35.7,-54.19922,-73.24219,1004.39453,0.049162259837251,0.0074609334864253,0.0149218669728507,70.35,3.0,87.15,-803.22266,75.19531,604.98047,0.0347734164179594,0.0984578628293545,-0.0381042027624654,57.15,24.15,24.0
-958.98437,158.69141,122.55859,-0.2693934899075019,0.0512940049856369,-0.1657396073620351,4.05,23.4,35.7,-42.96875,-70.80078,1021.48437,0.0612863640191548,-0.0122572728038309,-0.005595700114819,71.7,2.55,86.1,-792.48047,89.35547,652.83203,-0.0046631706954784,0.077540615342978,0.0086599746825454,57.3,24.75,22.5
-986.32812,152.34375,109.375,-0.2671285761371889,0.0297105653237742,-0.167871352510421,6.15,23.1,36.75,-50.78125,-58.59375,1017.08984,0.0470306892217904,-0.0254472495599277,0.0464976656682313,72.0,2.7,88.5,-791.01562,99.12109,624.02344,0.0007993607974134,0.0900643999235885,0.0262466103573411,56.55,24.3,24.6
-1002.92969,150.87891,96.19141,-0.278852999920386,0.037970859607613,-0.2344869048676153,6.15,23.4,37.05,-65.91797,-57.61719,1019.04297,0.027312482931534,0.0277121633302407,0.0330413516682802,73.2,2.25,87.15,-796.875,116.21094,617.67578,0.0099923590335179,0.0688804661275074,-0.0050628510941851,57.0,24.75,25.2
-976.5625,124.51172,109.375,-0.2491424345966117,0.055823832526263,-0.2255604184082903,5.7,23.85,35.7,-63.96484,-62.5,1012.69531,-0.0249142260063686,-0.0181194846954295,0.0439662401211387,71.4,3.0,87.6,-785.64453,100.58594,638.18359,-0.0684807857288007,0.0992572236267679,0.0572893854991626,58.2,24.6,22.2
-968.75,120.60547,104.00391,-0.2400826049824344,0.0103920394322246,-0.200779535556774,6.9,24.6,36.45,-68.35938,-52.24609,1029.78516,-0.023448673033469,-0.0098591904115907,0.0806048899107045,71.4,3.0,87.6,-796.38672,127.92969,602.05078,-0.040235773377926,0.0830031468358699,0.0325085026476463,59.1,24.75,24.6
-969.72656,135.25391,101.5625,-0.2737901488262009,-0.0455651362488907,-0.2592679622520568,6.9,24.6,36.45,-73.24219,-37.59766,1028.80859,-0.0246477142295891,-0.0406354537766327,0.1123138572280122,70.8,3.15,88.05,-802.73437,121.58203,631.34766,-0.0892648645932499,0.075275701572665,0.037970859607613,59.1,24.75,24.6
-962.89062,127.44141,105.95703,-0.2755222135758801,0.051827028539196,-0.2903109119268036,6.45,23.85,37.8,-44.43359,-48.82813,1016.11328,-0.015055210127703,-0.0354394340605204,0.0834028272345766,71.25,3.9,87.0,-780.27344,114.25781,625.0,-0.0854012292281101,0.0394364125805126,0.0333078634450597,57.6,24.0,23.55
-964.35547,113.28125,102.05078,-0.2667288957384822,0.034640073263107,-0.2964394610622565,4.35,23.85,36.45,-36.62109,-67.87109,1021.97266,-0.0209172474863764,-0.040235773377926,0.0932618431132422,71.25,3.15,87.75,-790.52734,105.95703,606.44531,-0.1140459219776914,0.0278453319521679,0.064750318985588,57.0,25.8,23.55
-989.74609,102.53906,99.12109,-0.2307564381244027,-0.0226493122360556,-0.2383507147656804,6.9,22.65,36.45,-40.03906,-79.58984,1009.27734,0.0881991665519822,-0.0739433172216925,0.0999234158022541,71.25,3.15,87.75,-760.25391,96.19141,616.21094,-0.1389601479840601,0.0887320155726161,0.040235773377926,56.7,24.15,25.05
-995.11719,110.83984,95.21484,-0.279918872494579,-0.0331745202902074,-0.2949739080893568,6.3,22.95,35.85,-43.45703,-53.71094,987.79297,0.063684446411395,-0.059154618870769,0.0991240550048407,72.9,2.55,87.9,-782.22656,63.96484,612.79297,-0.1546815502872494,0.0682144484849463,0.0330413516682802,58.05,24.3,22.5
-1008.78906,103.02734,94.72656,-0.2853812294545456,-0.0337075438437664,-0.267661599690748,6.3,22.95,35.85,-37.10938,-62.5,1007.8125,0.0263797789792682,-0.0530260697353161,0.1498852109698438,70.5,3.9,87.75,-774.90234,65.91797,601.5625,-0.1364287224369675,0.0787396565390981,0.0178529729186499,57.45,26.4,22.65
-990.23437,101.07422,99.60938,-0.2366186500160012,-0.0830031468358699,-0.1738667330239467,5.1,22.35,37.05,167.96875,-46.38672,1006.34766,0.0113245688515652,0.1265697065583019,0.13776110678794,71.4,4.05,88.35,-796.38672,53.22266,616.21094,-0.0688804661275074,0.0528927265804637,0.0782068075184643,57.6,25.5,23.85
-990.23437,104.98047,108.88672,-0.2346202480224677,-0.0349065850398865,-0.185724325429071,5.7,22.65,35.7,-23.92578,-28.32031,1014.64844,-0.0283781809728018,0.052493046181757,0.1075176924435318,71.4,4.05,88.35,-794.43359,39.55078,618.16406,-0.063018428768834,0.0646171503636608,0.0675482563094601,57.6,25.5,23.85
-991.69922,102.53906,108.88672,-0.2556708386636965,-0.0928621627145355,-0.1485528266188713,6.15,23.4,34.65,-88.86719,-38.08594,1042.96875,-0.0623522365933478,-0.0063950609122324,0.0816707624848974,73.2,2.55,87.9,-810.05859,21.48438,604.98047,-0.0341072242424731,0.0448989440734045,0.0407687969314851,57.6,25.5,23.85
-995.11719,87.89063,101.07422,-0.1843921156110237,-0.1155114749505911,-0.1436233186795386,6.6,22.95,36.6,-69.33594,-43.45703,1053.71094,-0.0563568560798221,-0.0772741035661985,0.0822036115055313,71.7,3.3,86.85,-823.24219,24.41406,599.12109,-0.018385996472209,0.0389035635598788,0.0006661921754862,58.8,24.75,23.1
-998.53516,81.54297,104.49219,-0.22702597138119,-0.0483628990398376,-0.1849249646316576,6.6,22.95,36.6,-78.125,-53.71094,1029.78516,-0.0425006871482391,-0.0868667822010097,0.0989908863829135,71.4,2.55,87.9,-831.05469,30.76172,585.9375,-0.0237151848102485,0.0508943245869302,-0.0154548905264097,58.8,24.75,23.1
-1019.04297,74.70703,95.21484,-0.2159679143064043,-0.0330413516682802,-0.1253706653621819,7.2,22.65,37.5,-69.82422,-74.21875,1009.76562,-0.0860674214035963,-0.067015232755901,0.0979250138087206,71.4,2.55,87.9,-829.10156,40.03906,581.54297,0.0138559943986577,0.0848683802074762,-0.0131899767560967,59.4,24.3,23.1
-1028.32031,85.44922,88.86719,-0.1606769308007752,-0.0386370517830992,-0.1337641282679478,5.4,24.15,36.75,-80.07813,-73.73047,1021.48437,-0.0740764858436197,-0.0949939078629213,0.067015232755901,69.9,3.0,86.55,-843.75,49.31641,578.125,-0.0330413516682802,0.0634181091675407,-0.0062618922903052,57.45,24.15,24.75
